order_id,order_date,customer_id,region,category,product,quantity,unit_price,status
1000,2025-06-13,C070,South,数码,无线耳机,4,149.46,paid
1001,2025-01-23,C078,north,食品,咖啡,1,74.34,paid
1002,2025-01-07,C001,East,食品,坚果,4,280.54,paid
1003,2025-07-14,C044,East,家居,抱枕,6,181.17,paid
1004,2025-01-27,C006,North,数码,机械键盘,6,511.55,paid
1005,2025-07-06,C080,North,美妆,精华,7,65.7,paid
1006,2025-08-15,C038,south ,服饰,牛仔裤,2,46.58,paid
1007,2025-01-21,C021,East,家居,收纳盒,5,282.98,paid
1008,2025-04-05,C032,South,服饰,T恤,2,373.3,paid
1009,2025-02-11,C008,South,美妆,口红,4,417.08,paid
1010,2025-02-28,C073,East,数码,机械键盘,5,,paid
1011,2025-08-13,C019,west,服饰,T恤,7,,paid
1012,2025-03-09,C029,South,家居,收纳盒,7,,paid
1013,2025-02-05,C021,North,食品,咖啡,1,,paid
1014,2025-07-22,C068,North,美妆,精华,7,,paid
1015,2025-03-06,C038,North,食品,坚果,5,465.79,paid
1016,2025-04-22,C065,north,家居,台灯,5,583.7,paid
1017,2025-08-22,C070,South,数码,移动电源,4,108.65,paid
1018,2025-07-19,C040,east,食品,坚果,8,31.3,paid
1019,2025-03-03,C069,North,数码,无线耳机,2,444.51,paid
1020,2025-07-16,C055,west,家居,收纳盒,0,173.73,paid
1021,2025-02-24,C048,south ,食品,巧克力,0,251.42,paid
1022,2025-04-23,C076,North,食品,咖啡,0,150.32,paid
1023,2025-05-22,C030,south ,家居,抱枕,0,61.18,paid
1024,2025-01-18,C070,North,数码,机械键盘,0,181.52,paid
1025,2025-02-03,C025,west,食品,巧克力,0,475.08,paid
1026,2025-01-25,C007,East,数码,移动电源,6,265.68,paid
1027,2025-06-22,C025,East,数码,无线耳机,6,484.34,paid
1028,2025-02-18,C010,NORTH,食品,咖啡,7,126.42,paid
1029,2025-04-24,C031,north,食品,坚果,1,582.02,paid
1030,2025-02-12,C022, east ,美妆,口红,4,521.5,paid
1031,2025-04-08,C072, east ,数码,机械键盘,8,185.44,paid
1032,2025-06-19,C070, east ,美妆,面膜,5,146.27,refunded
1033,2025-01-16,C021, east ,服饰,T恤,8,311.65,paid
1034,2025-01-15,C031,NORTH,食品,坚果,2,365.12,paid
1035,2025-04-14,C075,south ,数码,移动电源,1,379.24,paid
1036,2025-05-25,C034,South,食品,咖啡,4,408.44,paid
1037,2025-04-12,C010,South,家居,抱枕,8,203.38,paid
1038,2025-01-03,C017,North,美妆,精华,2,331.83,paid
1039,2025-08-27,C070,south ,服饰,T恤,6,185.29,paid
1040,2025-06-30,C018,north,服饰,牛仔裤,5,560.42,paid
1041,2025-03-09,C044,NORTH,数码,无线耳机,5,183.42,paid
1042,2025-02-22,C012,west,服饰,牛仔裤,5,545.1,paid
1043,2025-06-12,C034,north,美妆,口红,1,213.46,paid
1044,2025-02-11,C020,East,美妆,精华,1,84.89,paid
1045,2025-05-20,C006,NORTH,数码,机械键盘,7,93.92,paid
1046,2025-08-19,C053,south ,服饰,T恤,2,225.13,paid
1047,2025-06-08,C043,NORTH,家居,收纳盒,3,531.22,refunded
1048,2025-07-20,C049,south ,美妆,精华,5,112.33,paid
1049,2025-08-12,C040,south ,数码,机械键盘,4,493.62,paid
1050,2025/13/40,C009,north,家居,收纳盒,4,251.11,paid
1051,2025-07-17,C034,East,服饰,卫衣,6,564.76,paid
1052,2025-02-15,C041,north,食品,咖啡,2,366.01,paid
1053,2025-04-22,C006,North,食品,巧克力,7,541.71,paid
1054,2025-07-01,C043,south ,美妆,面膜,6,270.15,paid
1055,2025-06-09,C042,North,服饰,牛仔裤,5,314.13,paid
1056,2025-04-14,C023,NORTH,服饰,牛仔裤,4,263.86,paid
1057,2025-06-07,C075,East,食品,咖啡,1,196.25,paid
1058,2025-06-05,C022,west,服饰,卫衣,8,411.86,paid
1059,2025-06-18,C040,east,数码,机械键盘,2,494.69,paid
1060,2025-02-27,C010,north,家居,收纳盒,1,162.01,paid
1061,2025-04-27,C001,south ,美妆,精华,7,306.74,paid
1062,2025-08-17,C060,south ,数码,机械键盘,3,486.38,paid
1063,2025-01-13,C068,North,食品,坚果,8,97.34,paid
1064,2025-05-24,C021,west,食品,咖啡,7,501.73,paid
1065,2025-07-10,C067,South,美妆,口红,4,507.12,paid
1066,2025-05-05,C043,west,家居,台灯,2,433.86,paid
1067,2025-03-23,C028,NORTH,食品,坚果,3,154.13,paid
1068,2025-01-17,C054,east,美妆,口红,8,261.15,paid
1069,2025-04-10,C039,north,食品,巧克力,7,296.65,paid
1070,2025-07-12,C004,south ,美妆,口红,8,147.26,paid
1071,2025-04-10,C080,East,服饰,牛仔裤,3,507.49,paid
1072,2025-05-17,C060,north,数码,机械键盘,2,392.79,paid
1073,2025-02-16,C049,East,数码,机械键盘,6,142.76,paid
1074,2025-03-13,C045,North,美妆,口红,8,31.24,paid
1075,2025-02-27,C003,north,数码,移动电源,1,570.77,paid
1076,2025-06-09,C028,NORTH,家居,收纳盒,8,408.29,paid
1077,2025-04-30,C040,NORTH,服饰,卫衣,2,471.12,paid
1078,2025-01-28,C010,South,食品,坚果,7,250.06,paid
1079,2025-06-01,C006,South,家居,收纳盒,2,481.81,paid
1080,2025-03-30,C054,east,食品,咖啡,2,313.46,paid
1081,2025-07-30,C020,East,美妆,面膜,6,388.64,paid
1082,2025-04-22,C076,South,家居,抱枕,8,289.63,paid
1083,2025-03-10,C060,North,服饰,T恤,5,531.35,paid
1084,2025-05-26,C024,East,食品,巧克力,6,36.65,paid
1085,2025-05-05,C036,South,家居,台灯,6,182.2,paid
1086,2025-05-23,C072,south ,数码,移动电源,2,159.99,paid
1087,2025-07-14,C038,west,家居,抱枕,8,279.94,refunded
1088,2025-02-26,C071,south ,美妆,精华,5,405.1,paid
1089,2025-05-16,C033,east,服饰,卫衣,6,427.66,paid
1090,2025-03-01,C024,south ,数码,移动电源,6,89.34,paid
1091,2025-02-19,C068,west,家居,抱枕,5,440.26,paid
1092,2025-06-02,C002,south ,服饰,T恤,5,151.94,paid
1093,2025-07-01,C017,South,食品,坚果,1,585.09,paid
1094,2025-06-13,C024,north,美妆,面膜,5,292.25,paid
1095,2025-01-14,C007,North,服饰,卫衣,2,252.41,refunded
1096,2025-02-08,C054,South,家居,抱枕,2,596.47,paid
1097,2025-06-05,C076,south ,食品,巧克力,7,281.3,paid
1098,2025-04-20,C028,north,服饰,牛仔裤,2,569.6,paid
1099,2025-03-09,C053,south ,数码,无线耳机,3,340.16,paid
1100,2025-04-26,C059,South,食品,咖啡,1,154.26,paid
1101,2025-01-19,C020,south ,家居,台灯,7,86.57,paid
1102,2025-08-21,C073,North,服饰,T恤,1,116.24,paid
1103,2025-08-24,C035,North,服饰,卫衣,8,419.43,paid
1104,2025-05-09,C042,west,食品,咖啡,2,366.86,paid
1105,2025-06-04,C074,North,服饰,T恤,4,577.91,paid
1106,2025-05-31,C067,South,数码,移动电源,1,462.6,paid
1107,2025-06-16,C012,NORTH,美妆,口红,7,388.18,paid
1108,2025-05-01,C043,east,服饰,卫衣,6,408.68,paid
1109,2025-04-16,C042,East,美妆,口红,1,283.8,paid
1110,2025-01-30,C047,north,美妆,精华,8,259.68,paid
1111,2025-06-09,C037,west,美妆,精华,1,138.06,paid
1112,2025-04-23,C002,north,美妆,面膜,4,431.67,paid
1113,2025-05-22,C020,south ,美妆,面膜,2,287.64,paid
1114,2025-05-08,C032,South,服饰,牛仔裤,7,504.14,paid
1115,2025-04-27,C018,East,食品,坚果,4,554.68,paid
1116,2025-08-10,C001,East,数码,机械键盘,6,561.86,paid
1117,2025-03-14,C043,west,服饰,牛仔裤,3,279.0,paid
1118,2025-05-22,C031,west,食品,咖啡,6,524.37,paid
1119,2025-05-27,C049,East,美妆,面膜,1,204.54,paid
1120,2025-04-09,C013,north,家居,台灯,3,311.33,paid
1121,2025-08-12,C020,west,美妆,面膜,1,439.02,paid
1122,2025-01-20,C069,east,美妆,口红,7,396.91,paid
1123,2025-04-08,C037,west,服饰,牛仔裤,1,378.13,paid
1124,2025-02-28,C004,North,数码,机械键盘,2,277.33,paid
1125,2025-01-12,C068,South,服饰,T恤,6,237.41,paid
1126,2025-04-16,C049,NORTH,食品,巧克力,3,121.54,paid
1127,2025-06-08,C033,NORTH,家居,台灯,4,287.47,paid
1128,2025-06-20,C076,South,数码,机械键盘,3,62.84,paid
1129,2025-03-18,C050,South,美妆,精华,8,510.28,paid
1130,2025-08-07,C038,south ,美妆,面膜,7,351.72,paid
1131,2025-01-06,C037,north,美妆,口红,1,548.16,paid
1132,2025-07-18,C018,east,家居,抱枕,4,389.24,paid
1133,2025-06-10,C047,north,数码,移动电源,5,477.39,refunded
1134,2025-07-07,C017,South,家居,收纳盒,6,453.54,paid
1135,2025-07-21,C062,South,食品,咖啡,3,169.04,paid
1136,2025-07-26,C029,east,服饰,牛仔裤,2,291.63,refunded
1137,2025-08-09,C069,east,美妆,精华,2,478.6,refunded
1138,2025-02-01,C014,South,美妆,口红,7,497.0,paid
1139,2025-06-22,C009,north,家居,台灯,6,550.85,paid
1140,2025-06-12,C005,South,美妆,精华,7,87.67,refunded
1141,2025-03-19,C059,North,美妆,面膜,4,534.61,paid
1142,2025-04-05,C079,NORTH,食品,咖啡,7,399.85,paid
1143,2025-04-15,C047,east,服饰,T恤,4,277.16,paid
1144,2025-01-26,C016,east,服饰,牛仔裤,1,250.92,paid
1145,2025-08-06,C017,south ,美妆,面膜,1,49.34,paid
1146,2025-07-21,C030,North,食品,坚果,4,360.1,paid
1147,2025-03-26,C017,north,家居,抱枕,5,517.88,paid
1148,2025-05-19,C031,North,服饰,T恤,1,96.45,paid
1149,2025-05-31,C068,NORTH,服饰,T恤,5,50.39,paid
1150,2025-01-30,C065,west,数码,机械键盘,6,317.68,paid
1151,2025-02-26,C062,South,食品,坚果,8,393.14,refunded
1152,2025-08-05,C011,North,美妆,口红,8,433.19,paid
1153,2025-03-24,C071,North,食品,坚果,3,179.51,paid
1154,2025-07-02,C015,South,服饰,卫衣,8,313.22,paid
1155,2025-08-07,C044,south ,食品,巧克力,7,281.9,paid
1156,2025-07-31,C033,East,美妆,口红,2,201.28,paid
1157,2025-04-06,C056,west,家居,抱枕,2,72.91,refunded
1158,2025-01-25,C055,north,服饰,T恤,6,408.61,paid
1159,2025-08-11,C020,South,数码,机械键盘,6,80.09,paid
