order_id,order_date,customer_id,region,category,product,quantity,unit_price,status,amount,order_month
1365,2025-01-01,C051,West,数码,移动电源,6,513.06,paid,3078.36,2025-01
1557,2025-01-02,C043,South,服饰,T恤,7,180.47,paid,1263.29,2025-01
1169,2025-01-02,C016,South,家居,台灯,3,463.21,paid,1389.63,2025-01
1170,2025-01-02,C030,East,美妆,精华,3,94.93,paid,284.79,2025-01
1534,2025-01-02,C007,North,服饰,卫衣,1,109.15,paid,109.15,2025-01
1038,2025-01-03,C017,North,美妆,精华,2,331.83,paid,663.66,2025-01
1253,2025-01-05,C065,East,美妆,口红,3,259.52,paid,778.56,2025-01
1487,2025-01-05,C022,North,家居,收纳盒,4,445.76,paid,1783.04,2025-01
1172,2025-01-05,C054,East,美妆,面膜,7,352.57,paid,2467.99,2025-01
1131,2025-01-06,C037,North,美妆,口红,1,548.16,paid,548.16,2025-01
1342,2025-01-06,C067,North,服饰,牛仔裤,3,559.36,paid,1678.08,2025-01
1002,2025-01-07,C001,East,食品,坚果,4,280.54,paid,1122.16,2025-01
1410,2025-01-08,C018,South,美妆,口红,2,287.99,paid,575.98,2025-01
1503,2025-01-08,C009,West,家居,台灯,2,534.8,paid,1069.6,2025-01
1286,2025-01-09,C005,North,美妆,精华,4,139.53,paid,558.12,2025-01
1281,2025-01-09,C054,North,服饰,卫衣,3,464.18,paid,1392.54,2025-01
1209,2025-01-10,C040,North,服饰,T恤,4,533.76,paid,2135.04,2025-01
1551,2025-01-11,C045,East,数码,移动电源,2,196.72,paid,393.44,2025-01
1445,2025-01-12,C008,West,服饰,卫衣,5,151.22,paid,756.1,2025-01
1301,2025-01-12,C075,North,食品,坚果,1,171.25,paid,171.25,2025-01
1125,2025-01-12,C068,South,服饰,T恤,6,237.41,paid,1424.46,2025-01
1517,2025-01-12,C018,West,食品,坚果,8,401.9,paid,3215.2,2025-01
1063,2025-01-13,C068,North,食品,坚果,8,97.34,paid,778.72,2025-01
1202,2025-01-13,C077,West,家居,台灯,2,84.3,paid,168.6,2025-01
1238,2025-01-13,C042,East,服饰,卫衣,4,578.36,paid,2313.44,2025-01
1456,2025-01-13,C040,East,美妆,口红,1,215.96,paid,215.96,2025-01
1497,2025-01-13,C055,North,数码,无线耳机,5,228.92,paid,1144.6,2025-01
1034,2025-01-15,C031,North,食品,坚果,2,365.12,paid,730.24,2025-01
1447,2025-01-16,C039,East,美妆,精华,8,352.17,paid,2817.36,2025-01
1272,2025-01-16,C040,South,数码,机械键盘,3,255.14,paid,765.42,2025-01
1033,2025-01-16,C021,East,服饰,T恤,8,311.65,paid,2493.2,2025-01
1565,2025-01-17,C047,South,服饰,卫衣,1,407.78,paid,407.78,2025-01
1485,2025-01-17,C044,South,数码,机械键盘,8,442.14,paid,3537.12,2025-01
1547,2025-01-17,C039,North,食品,坚果,6,558.27,paid,3349.62,2025-01
1068,2025-01-17,C054,East,美妆,口红,8,261.15,paid,2089.2,2025-01
1163,2025-01-18,C054,North,家居,抱枕,2,452.74,paid,905.48,2025-01
1101,2025-01-19,C020,South,家居,台灯,7,86.57,paid,605.99,2025-01
1181,2025-01-20,C006,East,数码,移动电源,8,356.59,paid,2852.72,2025-01
1122,2025-01-20,C069,East,美妆,口红,7,396.91,paid,2778.37,2025-01
1198,2025-01-21,C043,North,服饰,T恤,6,559.88,paid,3359.28,2025-01
1175,2025-01-21,C066,East,美妆,口红,4,213.18,paid,852.72,2025-01
1448,2025-01-21,C023,North,美妆,精华,3,89.76,paid,269.28,2025-01
1007,2025-01-21,C021,East,家居,收纳盒,5,282.98,paid,1414.9,2025-01
1443,2025-01-21,C034,South,美妆,面膜,7,293.15,paid,2052.05,2025-01
1354,2025-01-22,C037,South,食品,坚果,5,38.96,paid,194.8,2025-01
1321,2025-01-22,C020,South,食品,咖啡,2,67.58,paid,135.16,2025-01
1313,2025-01-22,C030,East,美妆,口红,2,538.98,paid,1077.96,2025-01
1451,2025-01-23,C002,East,美妆,精华,6,516.84,paid,3101.04,2025-01
1596,2025-01-23,C002,East,服饰,卫衣,7,255.16,paid,1786.12,2025-01
1001,2025-01-23,C078,North,食品,咖啡,1,74.34,paid,74.34,2025-01
1417,2025-01-23,C068,North,服饰,卫衣,7,135.69,paid,949.83,2025-01
1408,2025-01-24,C019,South,家居,抱枕,1,144.71,paid,144.71,2025-01
1409,2025-01-24,C023,East,家居,台灯,1,412.77,paid,412.77,2025-01
1444,2025-01-24,C058,North,食品,咖啡,6,533.59,paid,3201.54,2025-01
1505,2025-01-25,C050,South,美妆,精华,8,220.53,paid,1764.24,2025-01
1026,2025-01-25,C007,East,数码,移动电源,6,265.68,paid,1594.08,2025-01
1158,2025-01-25,C055,North,服饰,T恤,6,408.61,paid,2451.66,2025-01
1590,2025-01-26,C007,East,家居,抱枕,6,484.5,paid,2907.0,2025-01
1144,2025-01-26,C016,East,服饰,牛仔裤,1,250.92,paid,250.92,2025-01
